attribute,std_all,std_bzn,std_zcd,r2_all,r2_bzn,r2_zcd
M12_FME_1020_RAT,0.2774123672211631,0.23365818198247723,0.4081698633776355,0.23395988386361125,0.26587052512513104,0.23210672949118896
M12_FME_30_RAT,0.277412185177046,0.2349291579480901,0.41374759364136016,0.23392279592490414,0.26645972864576417,0.23400519990883809
M12_FME_40_RAT,0.27741066127553604,0.2335379552981082,0.41296817790977736,0.23378427689294595,0.26658738457254777,0.2331309022536653
M12_FME_50_RAT,0.2774100035459639,0.22959602547630562,0.4158591730987942,0.23372032718516675,0.2657803701798757,0.2327186267231478
M12_FME_60_RAT,0.27740918886529714,0.2281792417468783,0.40749309544280093,0.23363075427778252,0.2672659262305196,0.23160026618704233
M12_MAL_1020_RAT,0.27741066934590974,0.23492137191545676,0.4028358176033843,0.23384918265754376,0.2668136661323945,0.2299244281871918
M12_MAL_30_RAT,0.2774107105926736,0.2293511723957618,0.4154343947654989,0.2338270530980017,0.26598926827585595,0.236135842729433
M12_MAL_40_RAT,0.277409569603322,0.23323711427047528,0.41895989270188333,0.23370879331425654,0.26598492502089294,0.23127630898647616
M12_MAL_50_RAT,0.27740880629207954,0.23386803022923558,0.4116939835716287,0.2336869012377674,0.2668147124336025,0.2319161022214288
M12_MAL_60_RAT,0.2774082306483103,0.23254873752803903,0.3979447160878035,0.23359476826178535,0.2674023231605905,0.23168266034157475
M12_SME_BZN_SAA_PCE_RT,0.2349534425618469,0.20943170009008366,0.2549653337787142,0.5181516620619824,0.35254013207838597,0.43461843878535306
M12_SME_RY_SAA_PCE_RT,0.31000341701283796,0.236251297412266,0.3160413930923504,0.4771212774356563,0.34371012063752393,0.447630267686333
M1_SME_RY_CNT_RAT,0.20986948946848655,0.17216463122953166,0.2432250637967754,0.24404655387225194,0.208380999544049,0.26661949674163554
M1_SME_RY_SAA_RAT,0.26889403909578535,0.20962327696324126,0.29287065756123937,0.23239192999896283,0.16911233146015342,0.2368005537874097
MCT_UE_CLN_NEW_RAT,0.2841814176726224,0.26684799337368403,0.46581553848331675,0.3808124404955314,0.21461090800983132,0.18359219583200045
MCT_UE_CLN_REU_RAT,0.28416077913428806,0.27674984449898554,0.42277520891742276,0.3807014898561422,0.2219568034619526,0.22213757071889034
RC_M1_AV_NP_AT,0.38251495689026993,0.28213807050617,0.4624389114758416,0.1990754261052181,0.14551794460416598,0.17230310706108426
RC_M1_SAA,0.37512904521640345,0.2864750760549054,0.4011166787975912,0.19077396961543824,0.1342000480251342,0.1787058067562351
RC_M1_SHC_FLP_UE_CLN_RAT,0.3342870283853926,0.2539181951096268,0.41649060708992985,0.53984103734577,0.3181194772354351,0.2832928473807112
RC_M1_SHC_RSD_UE_CLN_RAT,0.33428401276238556,0.25390320792887344,0.4128192962542195,0.5398662150577062,0.31805953025417283,0.28558794840210056
RC_M1_SHC_WP_UE_CLN_RAT,0.3342844240000841,0.2538912857525983,0.4158312448698835,0.5398655384475478,0.31827027495196797,0.2850794844873254
RC_M1_TO_UE_CT,0.32880039832706176,0.2565001824057898,0.3788891279934907,0.21183055512027327,0.1543701855417722,0.20555125534005136
RC_M1_UE_CUS_CN,0.3252124902104238,0.2538201667705479,0.37099977145952695,0.2252838984725655,0.1629490518031509,0.21083743284772055
