ENCODED_MCT,date,content
C9550798B7,2025-03-15,굿
C9550798B7,2025-02-26,친절하고 편안해요~
C9550798B7,2025-01-25,고기가 신선하고 고기 결이랑 보면 먹고 싶게 생겼어요
C9550798B7,2024-05-29,괜찮아요
C9550798B7,2024-03-28,굿
C9550798B7,2024-03-05,괜찮아요
C9550798B7,2024-02-07,상품이 싸고 맛있어요
C9550798B7,2024-02-03,굿
C9550798B7,2024-02-01,👍
C9550798B7,2024-01-17,좋아요
C9550798B7,2023-12-21,이용하기 편해요
C9550798B7,2023-12-02,괜찮아요
C9550798B7,2023-09-26,고기 질이 좋아요.
C9550798B7,2023-09-19,맛있는 고기
C9550798B7,2023-08-31,괜찮아요
C9550798B7,2023-08-18,고기맛있어요 좋아
C9550798B7,2023-08-01,친절해요
C9550798B7,2023-08-01,친절해요
C9550798B7,2023-03-22,저렴히 잘 삿어요
C9550798B7,2023-02-17,신선하고 싸요
C9550798B7,2023-02-09,재료가 신선하고 맛도 좋아요
C9550798B7,2023-01-28,신선해요
C9550798B7,2023-01-08,좋아요 고기가 맛있네요
C9550798B7,2023-01-07,불친절하고
C9550798B7,2023-01-07,고기가 맛있어요
C9550798B7,2023-01-06,주차하기가 편했어요
C9550798B7,2023-01-04,👍🏼
